gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,"team kpm",ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,"dragons (type unknown)",elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,"earned gpm",earnedgoldshare,goldspent,gspd,gpr,"total cs",minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT02_22225,complete,,LCK,2024,Spring,0,"2024-01-17 11:06:26",1,14.01,3,Blue,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Corki,Ashe,"Renata Glasc",Orianna,Nocturne,"Lee Sin",,,,,,1739,0,2,1,2,4,6,0,0,0,0,0,0,0,0,0.138,0.345,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,18417,635.4342,0.408676,411.5124,259.839,16,0.552,14,0.483,5,51,1.7596,12050,8227,283.8528,0.292072,12275,,,267,260,7,,,9.2122,3396,4732,90,3646,5397,95,-250,-665,-5,0,0,0,0,0,0,6569,8159,156,5908,8485,156,661,-326,0,1,0,0,1,0,1,8500,10330,202,8055,10853,196,445,-523,6,1,0,0,1,1,1,10725,12814,241,9430,12962,219,1295,-148,22,2,2,0,1,1,3
LOLTMNT02_21273,complete,,LCK,2024,Spring,0,"2024-01-17 11:57:38",2,14.01,8,Red,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Tristana,Ashe,"Renata Glasc",Orianna,Milio,Bard,,,,,,1890,1,8,2,7,17,10,1,0,0,0,0,0,0,0,0.5397,0.8571,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1,0,25971,824.4762,0.342689,671.746,577.6825,16,0.5079,18,0.5714,6,61,1.9365,16933,12802,406.4127,0.312407,13480,,,333,310,23,,,10.5714,3595,4482,85,3516,4841,88,79,-359,-3,1,0,1,0,1,0,6008,7368,142,5685,7538,148,323,-170,-6,1,2,1,0,1,0,8740,10856,202,7611,9820,192,1129,1036,10,2,3,1,0,1,1,11127,13622,253,9117,11845,224,2010,1777,29,3,4,2,0,3,2
LOLTMNT02_21295,complete,,LCK,2024,Spring,0,"2024-01-17 12:49:50",3,14.01,8,Red,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Yone,Ashe,"Renata Glasc",Orianna,"Lee Sin",Poppy,,,,,,2571,1,7,2,9,25,10,0,0,0,0,1,0,1,0,0.5834,0.8168,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,1,1,18831,439.4632,0.198731,688.4014,951.6453,9,0.21,17,0.3967,7,55,1.2835,21194,15674,365.7876,0.262496,24685,,,409,389,20,,,9.5449,4080,4139,87,3476,4681,90,604,-542,-3,1,3,0,0,0,0,6085,6974,138,5151,7156,139,934,-182,-1,1,4,0,0,0,0,8835,9988,192,6973,9413,177,1862,575,15,2,4,0,1,0,0,11016,12709,241,8623,11479,218,2393,1230,23,3,4,0,1,1,1
LOLTMNT02_25093,complete,,LCK,2024,Spring,0,"2024-01-20 08:36:07",1,14.01,8,Red,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Taliyah,Kalista,Vi,Ashe,Rell,K'Sante,,,,,,1567,1,1,1,11,16,4,0,0,0,0,0,0,0,0,0.6126,0.7658,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,23308,892.4569,0.326571,446.1519,238.6216,14,0.5361,11,0.4212,6,45,1.723,11848,8376,320.7147,0.228729,10450,,,265,257,8,,,10.1468,3298,4593,86,3384,4977,90,-86,-384,-4,0,0,0,0,0,0,5381,7501,139,5438,8178,147,-57,-677,-8,0,1,1,1,0,0,8126,10525,190,7174,10062,182,952,463,8,0,7,1,1,0,1,11079,14164,255,8802,12113,223,2277,2051,32,1,7,1,1,0,1
LOLTMNT02_29804,complete,,LCK,2024,Spring,0,"2024-01-25 10:35:32",1,14.01,8,Red,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Corki,Poppy,Orianna,"Lee Sin","Xin Zhao",Wukong,,,,,,1902,1,5,2,8,16,7,2,0,0,0,0,0,0,0,0.5047,0.7256,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,34622,1092.1767,0.413847,424.3849,259.3375,15,0.4732,12,0.3785,4,48,1.5142,17960,13804,435.4574,0.27448,17250,,,338,316,22,,,10.6625,3640,4988,97,3408,5028,96,232,-40,1,0,0,0,0,0,0,6996,8463,161,5246,7842,154,1750,621,7,2,2,0,0,0,0,9534,11303,211,7526,10441,194,2008,862,17,2,4,2,2,1,1,12876,15206,255,9139,12366,239,3737,2840,16,3,4,2,2,1,1
LOLTMNT02_30776,complete,,LCK,2024,Spring,0,"2024-01-25 11:26:48",2,14.01,8,Red,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Jayce,Poppy,Orianna,Senna,Vi,Rell,,,,,,1657,1,10,1,4,24,8,3,0,0,0,0,0,0,0,0.869,1.1587,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,32345,1171.213,0.343968,423.3675,298.2981,13,0.4707,13,0.4707,8,48,1.7381,15383,11727,424.6349,0.274443,13850,,,284,248,36,,,10.2836,3750,5150,100,3433,5052,97,317,98,3,0,0,0,0,1,0,6756,7969,150,5375,7713,155,1381,256,-5,3,1,0,0,1,0,10644,11535,212,6783,9630,188,3861,1905,24,6,1,0,0,1,2,13508,14785,266,8905,12335,240,4603,2450,26,8,2,1,1,2,3
LOLTMNT02_31940,complete,,LCK,2024,Spring,0,"2024-01-27 06:08:42",1,14.01,3,Blue,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,K'Sante,Vi,Orianna,Kalista,"Lee Sin",Rumble,,,,,,2224,0,3,6,2,7,17,1,0,0,0,0,0,0,0,0.1888,0.6475,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,15241,411.1781,0.235299,806.3579,1167.7878,7,0.1888,18,0.4856,4,44,1.1871,15122,10309,278.1205,0.265946,14375,,,331,323,8,,,8.9299,3618,5104,106,3797,4805,85,-179,299,21,0,0,0,1,0,0,6141,7472,150,6640,7930,138,-499,-458,12,2,0,1,3,1,0,8231,9595,199,8809,11715,174,-578,-2120,25,2,1,2,4,3,0,10083,12029,235,11892,15190,235,-1809,-3161,0,3,2,3,5,4,0
LOLTMNT02_32961,complete,,LCK,2024,Spring,0,"2024-01-27 07:09:38",2,14.01,3,Blue,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Jayce,Vi,Orianna,Rakan,LeBlanc,Akali,,,,,,2552,1,3,1,3,11,8,0,0,0,0,0,0,0,0,0.2586,0.4467,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,30728,722.4451,0.3111,370.9091,304.4436,23,0.5408,32,0.7524,8,115,2.7038,19109,13627,320.384,0.274034,17500,,,403,379,24,,,9.4749,3400,4950,94,3882,5241,98,-482,-291,-4,0,0,0,1,0,0,5317,7863,152,5857,8001,155,-540,-138,-3,0,0,0,1,0,0,7863,11181,215,7698,10808,203,165,373,12,0,0,0,1,1,0,9834,13644,269,9715,12827,243,119,817,26,0,1,0,2,1,0
LOLTMNT02_31982,complete,,LCK,2024,Spring,0,"2024-01-27 08:14:12",3,14.01,8,Red,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Tristana,Vi,Orianna,Rakan,Jayce,Yone,,,,,,1773,1,4,0,2,14,4,0,0,0,0,0,0,0,0,0.4738,0.6091,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,17497,592.1151,0.286109,417.3942,538.9848,16,0.5415,20,0.6768,7,54,1.8274,15800,11907,402.9442,0.304069,12475,,,361,333,28,,,12.2166,3433,4950,97,3370,5035,95,63,-85,2,0,0,0,0,0,0,6046,7743,151,5205,7594,148,841,149,3,1,0,0,0,1,1,8905,10817,208,7231,10484,202,1674,333,6,3,0,0,0,1,1,12157,15020,288,9224,12496,246,2933,2524,42,3,0,0,1,1,1
LOLTMNT02_41039,complete,,LCK,2024,Spring,0,"2024-02-02 08:06:17",1,14.01,8,Red,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Neeko,Ashe,Senna,Vi,Nocturne,Sejuani,,,,,,2050,1,2,2,7,20,11,0,0,0,0,0,0,0,0,0.5854,0.9073,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,18018,527.3561,0.210742,486.9951,302.7512,15,0.439,17,0.4976,13,60,1.7561,13419,8961,262.2732,0.210896,13275,,,312,302,10,,,9.1317,3382,4834,91,3295,4808,85,87,26,6,0,0,0,0,0,0,5363,7958,156,6063,7794,141,-700,164,15,0,0,0,2,0,0,7609,10985,203,8331,10429,185,-722,556,18,1,2,0,2,1,0,9567,13798,257,10390,12821,230,-823,977,27,1,3,0,3,2,0
LOLTMNT02_41040,complete,,LCK,2024,Spring,0,"2024-02-02 09:01:32",2,14.01,8,Red,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Yone,Senna,Orianna,Ashe,Taliyah,LeBlanc,,,,,,1449,1,5,1,7,20,4,0,0,0,0,0,0,0,0,0.8282,0.9938,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,15012,621.6149,0.234944,569.9379,757.1843,9,0.3727,5,0.207,5,26,1.0766,11623,8391,347.4534,0.249217,9825,,,219,207,12,,,9.0683,3755,4815,86,2946,4643,73,809,172,13,1,1,0,0,0,1,6229,7735,139,4517,7364,119,1712,371,20,2,2,0,0,0,2,8047,10191,181,6478,9148,155,1569,1043,26,2,4,1,1,1,3,11623,13711,219,7340,9686,165,4283,4025,54,5,7,1,1,1,5
LOLTMNT02_41281,complete,,LCK,2024,Spring,0,"2024-02-04 09:19:54",1,14.01,8,Red,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Corki,Orianna,Rakan,K'Sante,Yasuo,Irelia,,,,,,1962,1,8,1,5,18,11,2,1,0,0,0,0,0,0,0.5505,0.8869,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,47165,1442.3547,0.492791,363.9144,261.5291,16,0.4893,13,0.3976,3,55,1.682,18047,13769,421.0703,0.307262,16975,,,309,279,30,,,9.4495,3685,4763,99,3431,4941,90,254,-178,9,0,0,0,0,0,0,6330,7750,155,5344,7847,148,986,-97,7,0,1,0,0,0,1,8496,9647,192,7272,11048,207,1224,-1401,-15,0,1,0,0,0,1,12718,13251,228,9429,15256,263,3289,-2005,-35,4,3,0,0,1,2
LOLTMNT01_55642,complete,,LCK,2024,Spring,0,"2024-02-14 08:05:22",1,14.02,8,Red,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Azir,Orianna,Karma,Kalista,Vi,Viego,,,,,,1933,0,1,5,7,11,23,0,0,0,0,0,0,0,0,0.3414,1.0554,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,18953,588.298,0.244073,770.3156,477.672,15,0.4656,14,0.4346,6,53,1.6451,13186,8967,278.3342,0.253154,12650,,,315,312,3,,,9.7775,3770,5106,93,3405,4644,89,365,462,4,1,0,0,0,0,1,5622,7607,142,5609,7399,142,13,208,0,1,1,1,1,3,1,7837,10242,196,7787,10416,202,50,-174,-6,1,1,1,1,3,1,9972,13436,246,10194,12676,242,-222,760,4,1,6,2,3,4,2
LOLTMNT01_56440,complete,,LCK,2024,Spring,0,"2024-02-14 08:59:16",2,14.02,3,Blue,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Karma,Orianna,Vi,Taliyah,Tristana,Poppy,,,,,,1773,0,1,2,2,5,15,0,0,0,0,0,0,0,0,0.1692,0.6768,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,1,13460,455.4992,0.208395,391.6751,429.4755,13,0.4399,12,0.4061,4,43,1.4552,11540,7647,258.7817,0.277581,11300,,,295,291,4,,,9.9831,3628,5211,101,3098,4775,85,530,436,16,0,0,0,0,0,0,5425,8239,155,5145,7319,134,280,920,21,0,0,0,0,0,0,7492,11616,220,7062,10016,187,430,1600,33,0,0,0,0,0,0,8916,13502,255,9465,12930,221,-549,572,34,0,0,1,0,3,0
LOLTMNT01_58454,complete,,LCK,2024,Spring,0,"2024-02-17 06:07:13",1,14.02,3,Blue,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Azir,Maokai,Vi,Ashe,Akali,Yone,,,,,,1491,1,6,0,3,11,2,1,0,0,0,1,0,1,0,0.4427,0.5231,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,16585,667.4044,0.311725,366.3581,326.841,15,0.6036,11,0.4427,8,39,1.5694,12795,9478,381.4085,0.303504,11105,,,280,268,12,,,11.2676,3662,5123,99,3251,4695,88,411,428,11,0,1,0,0,0,1,5858,8423,165,4903,7071,133,955,1352,32,0,1,0,0,0,1,8650,11577,226,6778,9365,175,1872,2212,51,1,1,0,1,1,1,12795,15873,280,8241,11086,210,4554,4787,70,6,3,0,1,1,3
